subject_id,acquisition,brainmask_voxels,facemask_voxels,brainmask_overlap_facemask_voxels
sub-ON26309,mprage,1381931.0,1873231.0,0.0
sub-ON37194,fspgr,1211857.0,1924143.0,4663.0
sub-ON48190,fspgr,1177850.0,1876294.0,0.0
sub-ON72409,fspgr,998881.0,1332322.0,0.0
sub-ON05311,fspgr,1164886.0,1748482.0,0.0
sub-ON49080,mprage,1364915.0,2130287.0,0.0
sub-ON48984,fspgr,1046441.0,1468048.0,0.0
sub-ON40397,fspgr,1010157.0,1576516.0,0.0
sub-ON98018,fspgr,1205482.0,1607784.0,0.0
sub-ON62623,fspgr,931026.0,1714025.0,0.0
sub-ON52733,mprage,1595248.0,2227460.0,0.0
sub-ON21834,mprage,1464016.0,2248735.0,0.0
sub-ON50636,fspgr,1054152.0,1446464.0,0.0
sub-ON82948,mprage,1576082.0,2090945.0,0.0
sub-ON42941,mprage,1378003.0,2297138.0,0.0
sub-ON63335,fspgr,889803.0,1574689.0,0.0
sub-ON33827,fspgr,1136484.0,1670485.0,0.0
sub-ON51005,mprage,1379710.0,1811736.0,0.0
sub-ON75450,fspgr,1090904.0,1690487.0,0.0
sub-ON11111,mprage,1523007.0,2200914.0,0.0
sub-ON41090,mprage,1200043.0,1809424.0,0.0
sub-ON52992,mprage,1773006.0,2530111.0,0.0
sub-ON82798,fspgr,1349131.0,1766234.0,0.0
sub-ON08392,fspgr,1022139.0,1567792.0,0.0
sub-ON25939,mprage,1660681.0,2458378.0,0.0
sub-ON84896,mprage,1476279.0,2125811.0,0.0
sub-ON35773,mprage,1750089.0,2410725.0,0.0
sub-ON38044,fspgr,1107886.0,1675114.0,0.0
sub-ON48555,fspgr,1072734.0,1588668.0,0.0
sub-ON13545,mprage,1407086.0,2154105.0,0.0
sub-ON23776,mprage,1298168.0,1924978.0,0.0
sub-ON05258,fspgr,969568.0,1713794.0,0.0
sub-ON22299,mprage,1416459.0,2095291.0,0.0
sub-ON85616,mprage,1299764.0,2208629.0,0.0
sub-ON81734,mprage,1576148.0,2167398.0,0.0
sub-ON47254,mprage,1535252.0,2005066.0,0.0
sub-ON95259,mprage,1296017.0,1806945.0,0.0
sub-ON95742,mprage,1504246.0,2038096.0,0.0
sub-ON85981,mprage,1587805.0,2486999.0,0.0
sub-ON99299,fspgr,1101891.0,1545500.0,0.0
sub-ON02747,mprage,1284330.0,2051045.0,0.0
sub-ON61087,mprage,1432016.0,2208804.0,0.0
sub-ON86779,fspgr,1145169.0,1604958.0,0.0
sub-ON44262,mprage,1325066.0,1975031.0,0.0
sub-ON02811,mprage,1232996.0,2091442.0,0.0
sub-ON59735,fspgr,1155305.0,1622443.0,0.0
sub-ON26854,fspgr,1147342.0,1547939.0,0.0
sub-ON41606,fspgr,1123345.0,1862964.0,0.0
sub-ON92067,fspgr,1060742.0,1427573.0,0.0
sub-ON54886,mprage,1304982.0,1812475.0,6260.0
sub-ON52083,mprage,1420595.0,2019112.0,0.0
sub-ON80038,mprage,1798881.0,2272408.0,0.0
sub-ON73969,mprage,1373404.0,2202000.0,0.0
sub-ON26105,mprage,1295515.0,2110287.0,0.0
sub-ON54268,mprage,1719619.0,2164769.0,0.0
sub-ON89045,mprage,1617806.0,2336122.0,0.0
sub-ON86202,mprage,1418881.0,1936809.0,0.0
sub-ON03748,mprage,1624677.0,2343596.0,0.0
sub-ON71932,mprage,1278101.0,2315136.0,0.0
sub-ON40757,fspgr,1009403.0,1512162.0,0.0
sub-ON62003,mprage,1363999.0,2281224.0,0.0
sub-ON93426,mprage,1341142.0,2028240.0,0.0
sub-ON97504,mprage,1409938.0,2100891.0,0.0
sub-ON43585,mprage,1413338.0,1999684.0,0.0
sub-ON74065,fspgr,1116390.0,1669329.0,0.0
sub-ON21976,mprage,1342091.0,1960435.0,0.0
sub-ON43001,fspgr,1121729.0,1549154.0,0.0
sub-ON66199,mprage,1458976.0,2111955.0,0.0
sub-ON33159,mprage,1414325.0,2327378.0,0.0
sub-ON06910,fspgr,1079589.0,1490232.0,0.0
sub-ON08792,mprage,1382750.0,1898214.0,0.0
sub-ON18047,mprage,1424282.0,2475806.0,0.0
sub-ON85305,mprage,1420400.0,2193395.0,0.0
sub-ON11394,mprage,1338524.0,1667544.0,0.0
sub-ON56044,fspgr,1032828.0,1396196.0,0.0
sub-ON09474,mprage,1287377.0,1764900.0,0.0
